speechiness,loudness,danceability,energy,acousticness,target
1430,-4523,502,960,28800000,1
387,-4701,282,932,12000000,1
397,-8600,492,553,40600000,1
3090,-7675,837,646,8510000,1
489,-6684,461,955,11100000,1
374,-9192,780,747,37600,1
288,-7730,603,443,53300000,1
363,-5540,553,740,9870000,1
880,-12612,772,435,3330000,1
594,-7863,565,769,1350000,1
289,-7029,610,895,1180000,1
280,-5298,424,830,30700,1
362,-4756,457,804,20600,1
1200,-4352,803,510,23900000,1
439,-13407,536,808,5790000,1
400,-10615,650,600,2780000,1
2360,-4180,687,541,9100000,1
832,-5494,391,958,18100,1
292,-7326,499,491,3110000,1
256,-6730,685,645,18200000,1
295,-9252,421,491,18200000,1
644,-9656,491,817,12900000,1
446,-8573,623,852,2410000,1
344,-4874,519,771,48000,1
394,-4557,481,956,465000,1
562,-6629,385,694,7040000,1
395,-7750,409,717,57800,1
744,-5023,390,972,28700,1
727,-3724,471,888,3060000,1
636,-4314,315,826,64000,1
365,-20924,163,191,93700000,1
931,-1531,369,996,3830,1
313,-9659,663,699,48500000,1
359,-6973,574,857,2680000,1
462,-4744,757,706,3260000,1
440,-5966,545,651,79200,1
299,-9951,413,440,6630000,1
990,-5633,509,933,203000,1
282,-5635,747,875,733000,1
323,-7596,548,532,18600000,1
283,-9560,589,382,56700000,1
354,-7742,632,601,44800000,1
515,-3970,598,911,22200000,1
398,-7195,494,936,1120000,1
385,-6108,616,605,9120000,1
418,-4906,654,784,31400,1
400,-12217,417,586,35800,1
348,-7592,236,582,5840000,1
300,-7898,603,483,59900000,1
554,-4157,344,925,1060000,1
932,-1205,377,991,81000,1
275,-7310,646,669,1480000,1
293,-4509,443,737,149000,1
334,-5780,645,910,18300000,1
613,-8123,721,521,7080000,1
301,-5270,660,578,2480000,1
732,-4436,664,947,2740000,1
358,-23396,152,62.5,61900000,1
444,-23502,76.1,136,57400000,1
299,-8363,544,574,2170000,1
975,-5005,542,923,1100000,1
686,-14680,810,425,63800000,1
330,-17119,184,207,94000000,1
1160,-6055,450,992,25300,1
340,-6894,681,499,5890000,1
838,-18168,703,523,5410000,1
374,-4831,431,782,495000,1
673,-4544,457,930,3090000,1
504,-7637,704,663,3950000,1
470,-8959,565,468,79400000,1
579,-8947,812,725,2770000,1
526,-5428,643,849,3710000,1
1410,-5922,551,831,6400000,1
344,-5682,401,933,744000,1
402,-16515,180,198,29700000,1
258,-9129,360,501,6380000,1
343,-9086,462,753,1360000,1
309,-7814,712,354,38600000,1
2360,-9114,388,449,66800000,1
613,-3974,416,819,13800,1
275,-13766,679,401,34800000,1
432,-7015,338,794,1810000,1
878,-6852,311,632,2060000,1
1130,-8896,726,537,31600000,1
2100,-3874,198,964,24500,1
381,-2776,463,836,41800,1
2740,-8478,833,600,20200000,1
258,-10711,600,613,1040000,1
692,-5707,293,667,1120,1
1190,-6104,444,884,751000,1
317,-4631,501,818,203000,1
1730,-4774,446,778,20100,1
318,-14131,537,376,96000000,1
1440,-6501,325,838,3270000,1
293,-9956,517,432,44900000,1
3010,-7509,782,706,31700000,1
549,-14173,477,615,369000,1
313,-4413,720,747,20400000,1
422,-6069,284,875,752000,1
727,-7999,267,734,186000,1
657,-7570,745,572,578000,1
295,-10156,513,640,13300,1
458,-24913,345,56.2,97900000,1
483,-5986,668,645,1310000,1
258,-5448,678,702,3400000,1
1240,-8764,479,442,85800000,1
1220,-3204,463,926,5550000,1
996,-10668,681,436,17000000,1
845,-3933,738,607,743000,1
458,-8736,595,424,77000000,1
279,-9501,578,374,28100000,1
797,-11184,804,591,19800000,1
299,-6868,413,690,21200000,1
438,-6389,422,809,11800,1
604,-5747,686,751,604000,1
368,-8662,525,902,98900,1
363,-4716,669,819,11000000,1
526,-12526,731,602,49600000,1
490,-4609,392,849,404000,1
370,-7372,611,643,11700000,1
1420,-11738,513,238,85400000,1
578,-3829,735,798,697000,1
1480,-3755,490,963,52000,1
612,-5121,472,811,83900,1
3320,-10353,420,573,54000000,1
539,-2432,349,923,1950,1
582,-5301,676,674,10700000,1
406,-5988,688,779,2210000,1
794,-7401,332,943,198000,1
292,-8647,543,342,50200000,1
676,-6903,674,789,178000,1
661,-4395,232,946,1220000,1
614,-4561,565,877,813000,1
790,-12480,782,515,3390000,1
553,-6918,790,539,31300000,1
528,-7261,590,716,963000,1
546,-5728,329,905,8630,1
1390,-5912,824,846,1230000,1
357,-12806,584,273,85300000,1
379,-5938,620,781,18100000,1
380,-22668,342,21.3,97600000,1
305,-9822,472,735,596000,1
330,-9313,375,600,9660000,1
416,-11248,731,644,2670000,1
423,-10503,341,552,8020,1
1240,-4168,846,451,26300000,1
290,-29399,234,12.9,98500000,1
326,-10114,617,710,18500000,1
314,-4824,619,702,570000,1
406,-4581,341,875,2320,1
284,-5205,502,883,13600,1
358,-8116,449,684,9250000,1
1690,-12593,764,384,18300000,1
524,-9776,481,488,5890000,1
2190,-7182,427,867,11900,1
1590,-7566,529,939,236000,1
426,-6983,710,875,36600000,1
381,-2776,463,836,41800,1
2950,-6562,747,573,26800000,1
413,-5721,550,941,87200,1
287,-9312,476,361,51800000,1
533,-4390,173,872,52000,1
417,-7206,691,864,7660000,1
461,-15931,361,645,278000,1
675,-8489,693,514,972000,1
309,-8559,569,789,562,1
374,-5150,733,671,608000,1
487,-7376,538,770,1580000,1
363,-10558,662,630,63300000,1
923,-3933,470,892,3280,1
1520,-6188,434,974,12700,1
288,-5330,695,928,5910000,1
782,-5582,631,763,227000,1
296,-4460,562,903,18700,1
600,-7521,331,874,31700000,1
247,-7144,534,623,66800000,1
320,-8425,602,477,26800000,1
668,-3341,603,864,5500000,1
555,-3663,357,992,12300000,1
535,-7661,558,658,2980000,1
301,-4724,529,841,4260000,1
494,-8721,718,670,53500000,1
1120,-5284,278,962,229000,1
380,-4528,475,843,59100,1
756,-4864,818,867,7250000,1
481,-12442,504,323,38200000,1
1050,-4541,430,954,26100000,1
433,-6760,598,750,599000,1
1770,-3915,625,815,4760000,1
448,-2896,412,944,7240000,1
1320,-5757,441,752,3500000,1
311,-11077,516,494,40300000,1
636,-9780,482,333,70500000,1
1460,-4281,364,936,62600,1
650,-3917,262,951,430000,1
344,-5603,493,763,5190,1
290,-7778,629,749,69000000,1
565,-4326,545,964,11400,1
340,-6801,400,628,16900000,1
558,-5823,424,691,7850000,1
238,-6574,610,638,6720000,1
326,-10418,701,323,92300000,1
420,-33838,253,11.8,95200000,1
1210,-5219,471,955,485000,1
283,-7431,535,526,4910000,1
712,-6703,708,484,37000000,1
668,-9796,761,679,10200000,1
268,-7611,457,825,3290,1
276,-8574,579,636,8210000,1
1040,-5729,274,947,29100,1
2340,-3645,545,998,1920000,1
799,-4564,392,981,2900,1
351,-7823,588,708,44500000,1
583,-6398,704,810,4820000,1
338,-8544,253,293,30800000,1
310,-8342,680,596,52200000,1
399,-6455,745,471,8480000,1
301,-3641,522,801,820,1
508,-4425,593,651,11500,1
281,-10228,564,368,58700000,1
355,-8265,644,652,9450000,1
504,-2602,147,904,32800,1
1820,-5066,836,726,11900000,1
261,-8971,605,619,42300000,1
316,-5242,588,856,81800,1
409,-5119,469,759,35700,1
661,-10298,523,425,46500000,1
319,-5457,505,928,19300,1
315,-8700,503,759,755000,1
