381,-8191,440,339,67200000,6
508,-8699,489,284,84100000,6
547,-6509,581,833,11400000,6
334,-6397,726,817,39900000,6
570,-6896,795,658,23300000,6
2020,-5238,761,821,18500000,6
2430,-3713,783,912,2380000,6
344,-7898,671,472,87500000,6
299,-9626,713,305,79900000,6
336,-4691,608,680,35000,6
676,-6090,736,703,30200000,6
1180,-4297,839,810,47400000,6
389,-9225,730,404,40400000,6
1250,-7600,719,648,20000000,6
444,-3880,706,937,9140000,6
824,-5471,741,722,1720000,6
384,-3405,787,699,69000000,6
373,-8598,648,444,73800000,6
931,-7445,845,743,7990000,6
301,-11284,574,326,70900000,6
430,-7271,665,583,27200000,6
2040,-5052,556,661,30000000,6
271,-10969,569,271,88600000,6
898,-10706,638,259,75300000,6
293,-4148,678,741,12100000,6
2450,-7966,899,557,7860000,6
624,-7860,640,501,15000000,6
625,-9182,651,398,56800000,6
655,-7787,396,351,59100000,6
431,-5682,799,687,19300000,6
262,-5536,703,781,26200000,6
545,-11456,493,322,80000000,6
580,-9195,534,606,792000,6
298,-5114,730,769,13800000,6
356,-4569,677,870,19900000,6
423,-10983,561,379,86300000,6
994,-14454,704,225,90200000,6
360,-4848,620,832,33200000,6
433,-8175,702,787,1370000,6
618,-6928,872,520,71500000,6
353,-10302,434,271,85600000,6
496,-4998,421,791,1170000,6
532,-5495,616,576,7230000,6
1870,-10297,551,438,24300000,6
1130,-2979,655,757,26400000,6
820,-3193,882,839,15600000,6
362,-4756,457,804,20600,6
453,-5002,578,793,1660000,6
362,-12885,604,558,10600000,6
292,-10044,565,564,16100000,6
795,-8981,964,398,151000,6
2540,-10648,732,397,6090000,6
635,-5928,575,572,7180000,6
671,-6834,889,607,9300000,6
1420,-5215,402,914,57900,6
2580,-7610,760,667,2640000,6
1540,-10736,803,319,59200,6
675,-8925,655,446,19900000,6
361,-7832,689,687,6740000,6
323,-7720,705,331,79100000,6
303,-5831,668,715,43000000,6
379,-10056,612,482,69800000,6
257,-8346,639,664,910000,6
742,-5923,668,819,26000000,6
329,-5602,735,692,9370000,6
344,-9014,628,605,42100000,6
483,-5986,668,645,1310000,6
410,-5648,635,753,43400000,6
766,-4399,820,892,1640000,6
