speechiness,loudness,danceability,energy,acousticness,target
2440,-6398,933,5260,879000,3
4470,-10146,866,4380,8510000,3
2460,-6832,884,6390,11100000,3
577,-7470,825,4580,11400000,3
3810,-6844,586,7250,24800000,3
3740,-6812,853,4260,7650000,3
423,-8054,753,6320,12200000,3
4100,-5549,630,4910,76600000,3
1880,-6166,783,7570,15800000,3
1870,-10297,551,4380,24300000,3
2160,-6135,767,5600,3220000,3
2870,-5160,571,7670,33600000,3
2980,-8274,876,5000,15500000,3
2410,-8103,760,4760,29400000,3
5500,-9746,783,5710,40800000,3
1630,-5891,779,7050,471000,3
513,-7911,872,7070,3620000,3
3510,-3883,475,8820,40600000,3
4070,-10529,642,4000,79200000,3
2990,-8875,606,5540,71400000,3
2790,-7266,808,6390,8020000,3
1830,-6129,715,6510,17300000,3
4030,-6724,704,5240,929000,3
2410,-5062,919,4850,8710000,3
4010,-5252,787,7130,8490000,3
592,-8542,809,4610,22400000,3
2850,-5705,860,7100,17700000,3
3640,-6822,893,5370,21100000,3
2450,-5183,814,4810,9700000,3
1230,-9737,645,7980,8490000,3
3240,-7860,904,4980,919000,3
5060,-8937,918,3630,29300000,3
830,-10666,731,4100,54400000,3
765,-4998,550,7880,2820000,3
2590,-3583,701,8390,57500000,3
1950,-13178,670,3310,73000000,3
1670,-3220,607,8190,15200000,3
4120,-11792,590,6720,12500000,3
2220,-8013,841,5450,26800000,3
1120,-9452,805,4480,6020000,3
765,-13433,596,4870,37600000,3
3810,-11035,834,4890,17600000,3
2760,-5679,841,5600,5300000,3
3810,-5394,833,6900,33100000,3
1880,-8739,915,6410,941000,3
1890,-4618,856,6650,1280000,3
2490,-5096,565,7770,18300000,3
1870,-4639,869,6970,838000,3
630,-14439,677,5390,4550000,3
2820,-7482,597,6170,46300000,3
708,-7135,579,8410,14700000,3
2400,-6587,747,5740,56100000,3
3180,-3402,592,7700,12200000,3
1170,-5642,822,6300,13700000,3
4580,-11120,479,3520,37300000,3
1890,-10489,871,5450,1430000,3
661,-5882,895,4690,120000,3
3410,-14004,795,6000,11200000,3
3910,-5602,879,5740,51900000,3
1070,-4243,908,5570,24200000,3
996,-8275,829,6190,8710000,3
1630,-6091,880,5750,41500000,3
2530,119,780,9720,1070000,3
3400,-8425,874,5310,2520000,3
443,-5768,638,8590,7710000,3
2550,-6676,840,6710,26700000,3
853,-7758,741,6580,64300000,3
3320,-5268,473,8240,5900000,3
3720,-7727,754,6500,5940000,3
2850,-7111,784,5140,9570000,3
3770,-8367,573,8600,28200000,3
1660,-6689,690,8890,876000,3
1750,-9949,863,6760,20000000,3
5120,-8640,871,5410,16900000,3
3720,-10936,531,5460,26000000,3
412,-9740,797,5330,1720000,3
2460,-11169,770,6560,11000000,3
1130,-6002,849,7070,2660000,3
1020,-5810,847,6290,3180000,3
3440,-5647,408,9110,20100000,3
394,-11718,349,3630,53700000,3
3260,-8161,657,4790,83300000,3
2640,-6777,609,7860,46200000,3
344,-4688,677,5040,2010000,3
2810,-7619,894,6180,4290000,3
2000,-9358,887,4850,3920000,3
2190,-8469,854,5100,41100000,3
1370,-4523,863,9160,8290000,3
1140,-6623,719,7620,19900000,3
3500,-7249,672,5450,4930000,3
2420,-9144,872,3910,46900000,3
3340,-8210,552,7650,23400000,3
2530,-7813,832,5340,34500000,3
1730,-6264,853,5760,73900000,3
360,-4954,829,5880,5310000,3
1140,-6613,313,8700,43200000,3
2520,-8746,539,6150,17300000,3
3500,-6788,787,7300,2760000,3
395,-3936,554,8000,11900000,3
3610,-9821,764,5220,35000000,3
661,-3228,693,8800,9010000,3
4740,-11384,462,4300,87400000,3
2830,-6381,734,7290,14700000,3
485,-4964,854,5640,1710000,3
3220,-5843,590,6060,21100000,3
3930,-7277,619,5730,3520000,3
2520,-8080,878,6500,1780000,3
939,-6361,556,8470,5030000,3
1340,-6604,838,5870,20800000,3
1560,-3905,932,8350,10500000,3
1160,-8449,930,4670,906000,3
3320,-7953,568,8470,40300000,3
1100,-7407,528,5220,10500000,3
3450,-5530,770,6370,10300000,3
2790,-6123,766,8090,110000,3
2140,-6315,800,8010,59200000,3
899,-9859,405,5190,43400000,3
832,-6792,753,6050,8740000,3
348,-7454,770,6110,169000,3
8910,-18816,688,1270,93600000,3
1050,-7406,488,7920,4390000,3
698,-6065,934,6500,13000000,3
1890,-9233,760,6500,805000,3
