829,-4.475,814,659,155000,3,
2910,-5.284,664,660,18100000,3,
4860,-11.308,842,400,4570000,3,
2340,-7.227,632,800,54700000,3,
2630,-8.116,846,511,3750000,3,
5130,-8.906,924,500,6500000,3,
2640,-6.345,812,617,15400000,3,
2250,-7.332,639,834,2840000,3,
5120,-8.64,871,541,16900000,3,
4440,-6.864,748,746,1820000,3,
586,-7.628,461,467,766000,3,
798,-8.893,792,610,64200000,3,
292,-6.257,655,469,17300000,3,
2570,-11.929,702,412,20900000,3,
723,-11.949,848,838,3260000,3,
1070,-5.75,613,686,9520000,3,
2410,-8.028,786,460,43800000,3,
1930,-9.532,859,635,3560000,3,
570,-5.862,763,869,15400000,3,
3900,-6.487,541,596,56800000,3,
1100,-9.532,871,454,14400000,3,
1960,-9.147,526,491,55800000,3,
5740,-13.05,951,348,57200000,3,
2820,-6.56,443,851,2020000,3,
623,-5.218,792,707,11600000,3,
3040,-5.626,633,590,3630000,3,
786,-10.638,860,547,23100000,3,
2000,-8.508,830,907,86700,3,
1060,-6.341,338,598,11200000,3,
3580,-12.261,598,431,70100000,3,
677,-5.917,922,540,13500000,3,
907,-7.644,600,563,38700000,3,
477,-7.541,571,652,8510000,3,
6190,-9.229,582,537,12900000,3,
1970,-5.795,935,780,1580000,3,
485,-6.959,781,594,1360000,3,
2150,-4.149,663,767,13300000,3,
3570,-2.639,417,945,36700,3,
2520,-4.754,849,780,15800000,3,
344,-5.6,587,624,19700000,3,
1880,-11.903,943,685,50700,3,
2010,-7.43,701,540,55000000,3,
917,-14.938,862,639,37600000,3,
4280,-6.224,723,616,26500000,3,
3320,-10.138,582,492,38100000,3,
4090,-7.374,850,590,26400000,3,
4030,-8.788,760,658,2960000,3,
888,-3.878,515,827,3150000,3,
3440,-5.76,961,617,26000000,3,
561,-6.363,785,690,3340000,3,
1880,-3.392,709,902,3640000,3,
3080,-7.08,734,447,21900,3,
1890,-7.654,934,459,5160000,3,
3230,-9.303,680,679,86800000,3,
376,-5.023,514,834,630000,3,
485,-5.912,616,753,10600000,3,
1610,-8.771,745,775,1440000,3,
632,-7.934,807,655,13100000,3,
1070,-8.698,855,478,6840000,3,
3420,-3.987,619,782,49400000,3,
2370,-6.453,891,880,2040000,3,
1090,-5.465,702,697,1440000,3,
4480,-5.663,864,682,38800000,3,
931,-8.465,693,648,958000,3,
668,-8.514,788,523,79200000,3,
4250,-7.867,861,656,10400000,3,
4210,-5.126,671,644,31700000,3,
332,-6.215,665,630,12800000,3,
1810,-6.005,814,679,19500000,3,
3160,-6.961,742,536,25700000,3,
3150,-8.524,598,791,86700000,3,
2510,-7.569,787,720,22200000,3,
