speechiness,loudness,danceability,target
2140,-6315,800,3
899,-9859,405,3
832,-6792,753,3
348,-7454,770,3
8910,-18816,688,3
1050,-7406,488,3
698,-6065,934,3
1890,-9233,760,3
893,-7372,731,3
2010,-9338,836,3
5150,-13165,764,3
1390,-4505,881,3
3780,-6579,769,3
2200,-9995,894,3
4040,-4666,858,3
3500,-14123,651,3
1890,-4827,782,3
2590,-7172,662,3
2660,-10401,804,3
402,-8134,808,3
3330,-7368,423,3
5020,-6995,957,3
1110,-5242,759,3
3630,-8225,810,3
1890,-4827,782,3
2860,-5623,550,3
2220,-12625,775,3
285,-14280,638,3
2710,-6257,692,3
2930,-8375,928,3
2020,-6445,744,3
3460,-8827,831,3
3320,-8193,870,3
3600,-7128,830,3
2090,-8066,752,3
1360,-8899,823,3
2280,-6081,412,3
584,-6851,732,3
3660,-4468,627,3
2230,-9511,789,3
3750,-8424,494,3
2110,-7232,939,3
4490,-7915,843,3
1100,-9094,557,3
661,-5882,895,3
2820,-6128,885,3
461,-6371,770,3
1020,-5810,847,3
3090,-4707,934,3
3920,-14029,766,3
286,-3541,762,3
2250,-4433,607,3
451,-8448,579,3
3300,-8435,914,3
3580,-5053,582,3
1200,-5782,669,3
2530,-3180,920,3
540,-6588,598,3
2950,-7684,689,3
2960,-9673,890,3
2880,-8357,821,3
929,-3704,763,3
489,-6060,748,3
1060,-5525,770,3
3650,-12194,841,3
2220,-3944,834,3
300,-10277,700,3
2870,-5160,571,3
1210,-5616,584,3
3330,-8742,584,3
891,-8360,774,3
3090,-4707,934,3
1720,-5993,842,3
664,-2261,727,3
9370,-19061,745,3
1780,-18273,787,3
4740,-8393,529,3
4100,-5549,630,3
2010,-7430,701,3
381,-7784,601,3
2770,-7452,901,3
347,-10071,212,3
5070,-8922,843,3
1700,-8458,965,3
2270,-5700,529,3
3300,-13115,608,3
459,-7227,835,3
1860,-3237,548,3
317,-8764,598,3
4370,-3198,843,3
432,-10798,695,3
4370,-8687,959,3
2680,-5691,799,3
793,-16454,755,3
901,-5684,603,3
2160,-6135,767,3
5200,-6815,542,3
1430,-4949,855,3
3440,-8245,832,3
2980,-8728,760,3
4420,-4639,812,3
1560,-7461,750,3
2860,-4053,477,3
1690,-3657,831,3
2830,-5603,884,3
1780,-8685,570,3
3620,-5935,652,3
2450,-9849,421,3
