speechiness,loudness,danceability,target
3.03,-10.991,73,7
9.31,-3.661,63.9,7
2.69,-5.094,45.2,7
3.83,-3.917,52.9,7
4.12,-4.612,32,7
3.85,-6.791,56.2,7
6.64,-5.5,15.6,7
6.36,-4.314,31.5,7
3.42,-7.069,43.2,7
8.86,-11.224,53.9,7
3.96,-3.227,53.9,7
3.67,-5.091,52.9,7
4.13,-6.217,51.4,7
4.12,-12.255,62.3,7
3.84,-5.05,29.1,7
4.76,-3.19,45.5,7
4.5,-4.521,55.7,7
3.08,-8.138,41.2,7
4.55,-6.465,30,7
6.19,-6.094,58.4,7
3.15,-10.736,41.5,7
2.8,-5.298,42.4,7
2.52,-12.358,54.7,7
2.94,-7.206,53.7,7
5.56,-7.409,65.4,7
3.03,-7.841,18.2,7
3.75,-8.578,69.9,7
8.22,-8.697,69.8,7
3.45,-7.996,50,7
3.62,-5.847,57.5,7
9.18,-5.414,18.5,7
5.1,-7.393,46.2,7
3.18,-7.353,52.6,7
2.82,-5.635,74.7,7
2.51,-5.289,44.2,7
17.6,-2.905,50.7,7
14.5,-7.051,53.7,7
9.98,-5.906,65.4,7
6.18,-8.474,37.2,7
8.96,-10.845,33.6,7
5.49,-5.251,34,7
2.49,-9.152,48.5,7
2.74,-7.816,67.4,7
5.76,-7.737,66.5,7
5.25,-3.68,30.1,7
2.64,-9.047,62.1,7
6.36,-4.314,31.5,7
2.61,-11.026,49.8,7
3.04,-8.24,61.4,7
10.2,-5.097,86.4,7
3.4,-10.183,67.6,7
5.21,-4.054,51.7,7
4.61,-5.195,60.7,7
3.14,-4.963,54.4,7
3.96,-13.126,43.5,7
4.4,-5.966,54.5,7
3.18,-15.886,42.2,7
23.2,-3.172,34.8,7
13.3,-10.39,61.5,7
3.37,-6.347,63.3,7
7.43,-4.59,40.9,7
3.28,-5.798,56,7
4.69,-5.719,37.3,7
4.39,-10.365,73.1,7
3.48,-9.796,82,7
6.86,-10.216,66.4,7
6.34,-7.776,61.9,7
3.3,-5.541,38.8,7
7.35,-3.677,51.7,7
7.51,-8.069,44.7,7
3.54,-6.224,50.7,7
9.22,-6.476,56.2,7
8.53,-4.845,47.8,7
2.78,-11.097,41.4,7
9.32,-1.205,37.7,7
3.3,-5.456,85.1,7
2.99,-8.363,54.4,7
9.75,-5.005,54.2,7
3.63,-4.716,66.9,7
5.01,-3.311,75.8,7
3.26,-4.657,48.1,7
5.74,-6.449,52.4,7
4,-11.018,64.3,7
8.88,-8.85,29.8,7
2.96,-6.918,46,7
16.6,-4.254,68.7,7
6.97,-4.284,37.4,7
6.22,-3.706,37.3,7
3.94,-10.468,70.2,7
4.79,-8.559,52.2,7
10.3,-7.574,37.3,7
2.95,-14.255,52.5,7
2.64,-10.797,53.7,7
6.55,-8.903,48.5,7
2.6,-8.253,54.4,7
4.59,-4.4,61.2,7
21,-3.874,19.8,7
15.9,-5.142,68.6,7
9.36,-5.416,40.2,7
3.59,-7.836,64.5,7
2.57,-3.256,50.3,7
2.67,-11.357,43,7
4.58,-10.932,62.9,7
3.28,-8.52,33.4,7
21.4,-6.491,35.7,7
3.35,-6.536,56.6,7
17.5,-7.016,55.5,7
3.24,-16.319,53.3,7
3.16,-9.342,38.9,7
4.81,-5.729,17.8,7
2.85,-7.832,54.4,7
3.89,-3.802,88.2,7
4.34,-8.449,54.1,7
3.04,-5.091,49.5,7
6.22,-4.448,47.5,7
5.72,-9.176,54.7,7
3.53,-10.322,61.9,7
14.2,-7.366,35.2,7
4.3,-10.613,65.3,7
3.51,-11.476,47.8,7
7.19,-2.848,51.1,7
7.06,-7.833,75.6,7
9.29,-5.399,40.5,7
8.33,-3.123,50,7
5.46,-4.884,56.1,7
5.84,-5.87,55.6,7
10.4,-4.119,38.2,7
3.22,-5.311,46.9,7
3.53,-15.002,40.9,7
3.02,-7.844,47.5,7
7.55,-12.133,27.3,7
5.26,-4.731,40.7,7
3.07,-7.88,35.3,7
3.41,-3.991,43.2,7
3.84,-6.031,35.4,7
4.82,-5.513,52.9,7
10.8,-2.469,57.5,7
4.06,-5.988,68.8,7
6.61,-4.395,23.2,7
5.01,-3.904,43.9,7
12.7,-2.371,46.2,7
14.1,-4.545,66.2,7
4.39,-6.354,57.8,7
2.84,-9.272,56.1,7
9.65,-5.319,24.5,7
5.42,-3.037,58.2,7
3.36,-12.633,37.2,7
3.57,-4.816,79.6,7
4.26,-4.572,54.3,7
3.46,-13.552,40.9,7
3.57,-14.281,28.6,7
3.52,-11.36,16.4,7
3,-7.022,51,7
6.57,-2.108,53,7
3.76,-3.923,36.9,7
4.69,-3.57,39,7
