473,-10429,732,710,12100000,7
636,-4314,315,826,64000,7
399,-6475,582,817,170000,7
1330,-4529,470,881,31900000,7
904,-7842,437,864,39600000,7
290,-5879,594,752,520000,7
539,-4111,446,973,1560000,7
319,-8265,523,698,1700000,7
295,-4803,595,717,7790000,7
286,-9119,601,532,43200000,7
772,-4353,456,961,28800,7
1050,-5626,506,948,72700000,7
413,-7250,501,824,12700,7
498,-4147,549,860,1700000,7
336,-7805,574,691,1420000,7
336,-6004,494,637,7890000,7
403,-10016,778,373,66100000,7
1170,-3795,360,895,3290000,7
439,-6102,347,921,7400000,7
338,-10696,290,399,90200000,7
407,-4066,378,896,45200,7
278,-10830,467,332,59500000,7
546,-5413,498,889,9470000,7
945,-4652,417,706,933000,7
341,-5121,564,864,7610000,7
473,-2248,398,890,2520000,7
302,-6520,414,476,91000000,7
283,-7814,503,614,12300000,7
411,-15616,396,436,25400000,7
395,-6524,437,669,3440000,7
919,-12412,438,710,26200000,7
1610,-6472,933,528,11200000,7
1210,-3719,278,931,525000,7
534,-8124,776,763,18200000,7
840,-12604,791,410,16700000,7
395,-8208,799,789,5950000,7
847,-7703,799,783,5190000,7
1140,-3790,660,835,10000,7
512,-3414,230,888,77600,7
627,-8003,906,450,14900000,7
317,-8777,430,637,1.73E+03,7
258,-4602,550,697,6.69E+03,7
449,-11412,296,463,70500000,7
646,-8263,515,871,64500000,7
1460,-4866,696,830,7170000,7
855,-3435,613,953,148000,7
873,-4237,389,894,62100,7
283,-11753,467,432,17500000,7
546,-11636,509,474,51600000,7
346,-9309,476,666,29700000,7
317,-4247,721,746,1140000,7
352,-12082,415,456,501000,7
426,-7325,525,954,131000,7
945,-4652,417,706,933000,7
348,-9714,417,671,4070000,7
448,-7766,454,910,8660000,7
1130,-1742,323,982,70600000,7
568,-16816,312,411,28100000,7
354,-8708,527,871,2290000,7
351,-5996,391,727,7670000,7
538,-5015,450,794,38800000,7
672,-6345,224,889,1160000,7
383,-3739,476,934,957000,7
619,-6094,584,804,96800,7
362,-8867,755,876,35700000,7
725,-4253,352,912,197000,7
665,-5580,526,754,4450000,7
319,-5787,483,931,181000,7
364,-7877,520,457,13700000,7
329,-8182,385,673,18300,7
346,-5648,646,882,14300000,7
632,-4880,615,785,1860000,7
483,-5103,473,757,72700,7
275,-6830,461,716,502000,7
1430,-5487,414,938,125000,7
346,-3049,404,795,72200,7
329,-5329,566,765,3760000,7
1500,-5464,589,797,2890000,7
367,-12307,567,717,587000,7
407,-4066,378,896,45200,7
1120,-7314,417,919,882000,7
317,-8134,367,752,1330000,7
680,-7837,356,872,417000,7
274,-8571,586,405,61200000,7
301,-5604,338,511,397000,7
437,-4370,551,921,193000,7
281,-6825,653,576,38400,7
428,-6609,519,773,42300000,7
389,-7030,454,820,8220000,7
2140,-9237,702,668,51800000,7
394,-8211,700,664,30600000,7
241,-7954,469,427,414000,7
913,-4243,528,908,4850000,7
670,-5511,685,697,16600000,7
311,-4551,595,696,4920000,7
309,-9505,472,526,291000,7
501,-3686,220,848,4290000,7
543,-10225,497,500,31500000,7
311,-8211,261,667,8120000,7
747,-5230,352,911,121000,7
387,-6440,718,691,1590000,7
604,-7989,761,711,1740000,7
347,-4341,399,881,190000,7
509,-4160,391,930,4.90E+03,7
472,-5322,279,723,1340000,7
2190,-2874,488,990,494000,7
1270,-4564,500,932,3.42E+03,7
323,-3921,457,719,19100000,7
278,-9686,615,702,746000,7
582,-4261,653,964,316000,7
773,-5593,552,898,7360000,7
351,-6660,692,843,44800000,7
488,-4233,545,961,3.57E+03,7
456,-3486,644,939,15700000,7
285,-4632,568,787,278000,7
1590,-5407,513,956,381000,7
614,-4254,536,857,84900,7
297,-5717,426,842,1.78E+03,7
425,-4896,590,838,14100,7
321,-6839,482,721,73100000,7
411,-6255,772,705,24700000,7
387,-13366,463,500,2100000,7
876,-5545,725,747,2720000,7
301,-5046,420,776,2650000,7
396,-12244,653,677,24900000,7
559,-5889,720,742,3240000,7
1190,-3908,417,934,27800,7
497,-10783,243,690,52100,7
417,-10159,454,387,40600000,7
274,-9133,787,607,11900000,7
414,-14635,442,384,63900000,7
472,-3967,526,929,12200,7
565,-4714,566,829,492000,7
645,-4818,761,797,12300000,7
277,-11434,633,376,82200000,7
671,-4527,569,891,2.42E+03,7
558,-3856,271,863,106000,7
340,-18147,518,219,78400000,7
390,-7536,614,650,8600000,7
575,-4367,498,949,32400,7
528,-9955,623,936,61700,7
1160,-9216,432,823,24900000,7
503,-4015,362,928,16400000,7
728,-2666,527,922,475000,7
364,-4540,427,843,216000,7
380,-9418,447,551,45200000,7
299,-7698,363,553,754000,7
1660,-2341,252,978,1.21E+03,7
723,-4636,612,913,32700000,7
267,-12172,549,290,33900000,7
370,-6935,539,887,1610000,7
1770,-6679,818,705,836000,7
448,-4156,592,729,2200000,7
269,-6749,631,763,786000,7
727,-4177,532,962,154000,7
746,-11728,619,677,62400000,7
285,-8002,701,558,81400000,7
769,-11514,429,631,7.85E+03,7
676,-5867,796,698,1620000,7
380,-4405,758,779,71700,7
296,-5218,655,703,1020000,7
684,-5994,493,711,496000,7
3460,-4597,256,968,3900000,7
361,-4439,577,940,2.42E+03,7
2070,-3608,450,947,277000,7
299,-8039,377,682,89400,7
496,-3627,471,886,261000,7
1570,-5244,458,976,5.51E+03,7
496,-2826,445,893,11500,7
385,-9582,559,325,98700000,7
