speechiness,loudness,danceability,energy,,target,
310,-3831,494,874,,7,874000
339,-12453,346,335,,7,335000
343,-8933,376,557,,7,557000
653,-4888,730,758,,7,758000
453,-7565,355,791,,7,791000
765,-9284,591,563,,7,563000
564,-6926,728,878,,7,878000
608,-3321,493,943,,7,943000
431,-9066,407,682,,7,682000
281,-4999,631,525,,7,525000
678,-7458,463,867,,7,867000
420,-5731,401,815,,7,815000
375,-8076,609,536,,7,536000
403,-8101,566,686,,7,686000
931,-8604,532,889,,7,889000
446,-5194,663,835,,7,835000
298,-4848,686,729,,7,729000
533,-4542,308,873,,7,873000
303,-10991,730,487,,7,487000
931,-3661,639,914,,7,914000
269,-5094,452,654,,7,654000
383,-3917,529,755,,7,755000
412,-4612,320,909,,7,909000
385,-6791,562,809,,7,809000
664,-5500,156,849,,7,849000
636,-4314,315,826,,7,826000
342,-7069,432,642,,7,642000
886,-11224,539,811,,7,811000
396,-3227,539,788,,7,788000
367,-5091,529,868,,7,868000
413,-6217,514,784,,7,784000
412,-12255,623,622,,7,622000
384,-5050,291,599,,7,599000
476,-3190,455,812,,7,812000
450,-4521,557,902,,7,902000
308,-8138,412,608,,7,608000
455,-6465,300,807,,7,807000
619,-6094,584,804,,7,804000
315,-10736,415,363,,7,363000
280,-5298,424,830,,7,830000
252,-12358,547,257,,7,257000
294,-7206,537,818,,7,818000
556,-7409,654,530,,7,530000
303,-7841,182,451,,7,451000
375,-8578,699,467,,7,467000
822,-8697,698,460,,7,460000
345,-7996,500,470,,7,470000
362,-5847,575,854,,7,854000
918,-5414,185,900,,7,900000
510,-7393,462,900,,7,900000
318,-7353,526,679,,7,679000
282,-5635,747,875,,7,875000
251,-5289,442,689,,7,689000
1760,-2905,507,973,,7,973000
1450,-7051,537,791,,7,791000
998,-5906,654,929,,7,929000
618,-8474,372,939,,7,939000
896,-10845,336,796,,7,796000
549,-5251,340,753,,7,753000
249,-9152,485,792,,7,792000
274,-7816,674,413,,7,413000
576,-7737,665,834,,7,834000
525,-3680,301,887,,7,887000
264,-9047,621,619,,7,619000
636,-4314,315,826,,7,826000
261,-11026,498,280,,7,280000
304,-8240,614,777,,7,777000
1020,-5097,864,690,,7,690000
340,-10183,676,609,,7,609000
521,-4054,517,848,,7,848000
461,-5195,607,831,,7,831000
314,-4963,544,507,,7,507000
396,-13126,435,671,,7,671000
440,-5966,545,651,,7,651000
318,-15886,422,208,,7,208000
2320,-3172,348,987,,7,987000
1330,-10390,615,616,,7,616000
337,-6347,633,846,,7,846000
743,-4590,409,816,,7,816000
