speechiness,loudness,danceability,target
438,-6389,422,1
604,-5747,686,1
368,-8662,525,1
363,-4716,669,1
526,-12526,731,1
490,-4609,392,1
370,-7372,611,1
1420,-11738,513,1
578,-3829,735,1
1480,-3755,490,1
612,-5121,472,1
3320,-10353,420,1
539,-2432,349,1
582,-5301,676,1
406,-5988,688,1
794,-7401,332,1
292,-8647,543,1
676,-6903,674,1
661,-4395,232,1
614,-4561,565,1
790,-12480,782,1
553,-6918,790,1
528,-7261,590,1
546,-5728,329,1
1390,-5912,824,1
357,-12806,584,1
379,-5938,620,1
380,-22668,342,1
305,-9822,472,1
330,-9313,375,1
416,-11248,731,1
423,-10503,341,1
1240,-4168,846,1
290,-29399,234,1
326,-10114,617,1
314,-4824,619,1
406,-4581,341,1
284,-5205,502,1
358,-8116,449,1
1690,-12593,764,1
524,-9776,481,1
2190,-7182,427,1
1590,-7566,529,1
426,-6983,710,1
381,-2776,463,1
2950,-6562,747,1
413,-5721,550,1
287,-9312,476,1
533,-4390,173,1
417,-7206,691,1
461,-15931,361,1
675,-8489,693,1
309,-8559,569,1
374,-5150,733,1
487,-7376,538,1
363,-10558,662,1
923,-3933,470,1
1520,-6188,434,1
288,-5330,695,1
782,-5582,631,1
296,-4460,562,1
600,-7521,331,1
247,-7144,534,1
320,-8425,602,1
668,-3341,603,1
555,-3663,357,1
535,-7661,558,1
301,-4724,529,1
494,-8721,718,1
1120,-5284,278,1
380,-4528,475,1
756,-4864,818,1
481,-12442,504,1
1050,-4541,430,1
433,-6760,598,1
1770,-3915,625,1
448,-2896,412,1
1320,-5757,441,1
311,-11077,516,1
636,-9780,482,1
1460,-4281,364,1
650,-3917,262,1
344,-5603,493,1
290,-7778,629,1
565,-4326,545,1
340,-6801,400,1
558,-5823,424,1
238,-6574,610,1
326,-10418,701,1
420,-33838,253,1
1210,-5219,471,1
283,-7431,535,1
712,-6703,708,1
668,-9796,761,1
268,-7611,457,1
276,-8574,579,1
1040,-5729,274,1
2340,-3645,545,1
799,-4564,392,1
351,-7823,588,1
583,-6398,704,1
338,-8544,253,1
310,-8342,680,1
399,-6455,745,1
301,-3641,522,1
508,-4425,593,1
281,-10228,564,1
355,-8265,644,1
504,-2602,147,1
1820,-5066,836,1
261,-8971,605,1
316,-5242,588,1
409,-5119,469,1
661,-10298,523,1
319,-5457,505,1
315,-8700,503,1
1350,-9638,626,1
483,-5986,668,1
1410,-6778,761,1
328,-5958,184,1
440,-5189,343,1
446,-8318,600,1
431,-4040,433,1
360,-8475,732,1
320,-7480,570,1
336,-5110,489,1
1110,-7397,592,1
375,-6015,395,1
400,-12800,618,1
1770,-5855,439,1
480,-9585,559,1
390,-17834,206,1
351,-9255,733,1
399,-11783,390,1
303,-5857,487,1
475,-5670,593,1
384,-8604,775,1
538,-6954,847,1
2610,-9635,633,1
870,-9036,439,1
318,-8276,427,1
740,-6104,293,1
410,-6547,700,1
676,-4391,609,1
2280,-3369,603,1
539,-2626,513,1
292,-7300,653,1
529,-11810,500,1
412,-12255,623,1
347,-10966,561,1
343,-5682,637,1
3070,-13350,482,1
414,-7196,306,1
267,-5401,712,1
316,-7071,494,1
2780,-5070,613,1
366,-8200,616,1
302,-5325,548,1
552,-6554,559,1
319,-5497,593,1
312,-17638,401,1
377,-8821,277,1
459,-3369,385,1
362,-13249,706,1
1030,-5015,364,1
514,-12939,275,1
269,-5256,576,1
247,-7144,534,1
