3.17,-9.451,45.7,909,160000,1,,,
3.99,-6.475,58.2,817,170000,1,,,
4.79,-2.023,52.5,976,6620000,1,,,
6.06,-5.985,21,870,14700,1,,,
16.4,-7.924,69.2,799,38800000,1,,,
2.91,-6.253,52.5,623,24700000,1,,,
6.94,-7.402,44.5,655,41800000,1,,,
2.98,-3.875,45.6,754,19500000,1,,,
8.33,-5.854,45.6,857,157000,1,,,
7.72,-4.353,45.6,961,28800,1,,,
3.68,-8.413,89.2,470,75000000,1,,,
2.88,-5.625,55.8,876,2440000,1,,,
4.07,-9.76,50.2,758,915000,1,,,
2.77,-8.9,59.5,714,378000,1,,,
9.46,-6.855,18,915,2240000,1,,,
2.98,-9.447,74,696,52400000,1,,,
11.1,-2.497,46.4,919,315000,1,,,
5.14,-7.34,65.1,801,12300000,1,,,
7.35,-6.136,52.5,922,16700,1,,,
2.88,-7.193,57.1,719,274000,1,,,
10.3,-7.574,37.3,755,411000,1,,,
3.17,-5.659,39.5,824,5160000,1,,,
26.2,-6.401,70.2,594,15700,1,,,
8.29,-9.788,83.3,450,8870000,1,,,
6.12,-5.024,45.9,931,126000,1,,,
6.17,-4.404,34.2,888,116000,1,,,
4.52,-9.799,60,593,72600000,1,,,
3.63,-5.969,56.7,914,1060000,1,,,
11,-14.296,80.1,346,95700000,1,,,
2.59,-6.706,60.4,594,75700000,1,,,
3.01,-7.481,54.2,531,330000,1,,,
3.34,-7.118,64.4,831,13800000,1,,,
3.16,-10.494,41.5,355,98500000,1,,,
12,-4.563,52.5,578,1320000,1,,,
8.98,-7.24,41.7,630,2090000,1,,,
4.92,-8.199,39.8,864,52300000,1,,,
6.94,-2.919,16.7,953,4720000,1,,,
5.13,-8.192,77.2,692,742000,1,,,
3.84,-3.501,57.5,904,141000,1,,,
5.94,-3.938,47.2,826,61700,1,,,
3.47,-14.722,65.3,337,87800000,1,,,
4.71,-11.342,74.9,547,14700000,1,,,
6.51,-6.147,46.9,902,617000,1,,,
12,-4.563,52.5,578,1320000,1,,,
4.38,-10.792,55.7,320,73900000,1,,,
3.46,-5.466,70.5,814,115000,1,,,
3.79,-17.167,16.2,112,95400000,1,,,
22.8,-3.369,60.3,946,33500,1,,,
3.22,-3.972,64.8,564,21600000,1,,,
4.14,-7.196,30.6,540,62500000,1,,,
